"","candidate","combo","gender","trimmed","inc","openseat","ss_party"
"1","McConnell, Lizzetta","Lizzetta McConnell AL",1,"I believe it is a woman's right to make decisions about her own body and not the state or federal government. I support PPH and the return of federal resources to ensure that women are given choices and assistance when needed. I am an advocate for women, children, & the family system.",0,0,0
"2","Kennedy Jr, Robert","Robert Kennedy AL",0,"As a matter of public policy, I believe that the difficult choice to end a pregnancy is a family decision that specifically resides with the woman. As a person guided by faith, I believe our goal should be twofold: a) reduce the number of unplanned pregnancies though education and family-planning resources, and b) provide the women who experience unplanned pregnancies with the support and pre-natal resources to carry babies to term, if they choose to do so. We want women who experience unplanned pregnancies to understand the range of available options.",0,0,0
"3","Williams, Audri","Audri Scott Williams AL",1,"Women are equal citizens, and should not have to pay more than men for health care access. It’s women, not corporations or governments, that should decide how their private medical care is used. We believe in funding and protecting organizations that provide women with cost-free mammograms and cancer screenings, as well as the ones that aid in essential reproductive health services. Furthermore, it is our belief that when it comes to issues like domestic violence and assault, the government should cooperate with localities to strengthen protections and ensure their safety and security as citizens.",0,0,0
"4","Isner, Tabitha","Tabitha Isner AL",1,NA,0,0,0
"5","Hagan, Mallory","Mallory Hagan AL",1,"Eliminate pay discrimination and ensure everyone earns equal pay for equal work",0,0,0
"6","Neighbors, Rick","Rick Neighbors AL",0,NA,0,0,0
"7","Auman, Lee","Lee Auman AL",0,NA,0,0,0
"8","Joffrion, Peter","Peter Joffrion AL",0,"Women’s rights are human rights.  I will fight to keep Congress from moving this nation backwards, and I will vigorously oppose any attempts to write out women’s healthcare protections from our healthcare legislation. As your congressman, I will fight for equal wages for equal work, workplace protection laws, and subsidized maternity leave, so that there is no gender-based economic disparity between women and men. I will champion the “It’s On Us” initiative to ensure victims of sexual assault are able to come forward without fear, and can find refuge – not barriers – in our legal system. Words matter; action matters more. I will enter this Congress knowing that we are fighting against more attacks on women’s rights and women’s benefits than many of our young voters have ever seen, and I will do everything in my power to fight against language and laws that hurt and silence young women as they begin to find their place in the world. I WILL FIGHT FOR * Equal pay for equal work * Economic opportunities and safe workplaces for women * Subsidized maternity leave * A woman’s right to make decisions about her own health and her own body * Justice for victims of sexual assault I WILL FIGHT AGAINST * Laws and incompetence that shield and protect perpetrators of sexual assault * Misogynistic language, actions, and laws",0,0,0
"9","Kline, Danner","Danner Kline AL",0,NA,0,0,0
"10","Hafner, Carol","Carol Hafner AK",1,"Women and LGBT people have long faced discrimination, unequal pay, and harassment. This is 2018, and it is unacceptable that these issues have yet to be addressed on a national level in the United States. President Donald Trump has sought to roll back the rights of women and LGBT people, as well as normalize sexual assault. We must enact constitutional amendments and federal laws that will put an end to all forms of discrimination and inequality based on gender, sexual orientation, gender identity or expression, and HIV/AIDS positive status. The United States must immediately ratify the United Nations Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW). Our foreign policy must dictate equality for women and LGBT people as a condition of receiving foreign aid from the United States. We must expand access to confidential HIV/AIDS testing. Women in the workplace must have equal opportunities based on ability and achievement, therefore we must break the system of patriarchy. Women’s reproductive health care services such as access to contraception and abortion must be protected, expanded, and covered via a single-payer healthcare program, Medicare for All. Sexual harassment must be treated as an act of serious misconduct in the workplace. Gay, Lesbian, Bisexual, Trans people, and those of Alaska Native/Native American “Two Spirit” identities must no longer face discrimination, and with access to culturally competent health care options such as PrEP (preventative medication to prevent HIV infection) we can end the HIV/AIDS epidemic in America that has disproportionately impacted the LGBT community, as well as women of color and those living in poverty, and reduce health care costs by preventing new infections. Trans people must be able to use the restroom that corresponds to their gender identity and receive full health care coverage via Medicare for All, covering all medically necessary treatments without discrimination. If someone is in the workplace, securing a place to live, or otherwise living life in America, being LGBT should not be grounds for discrimination. LGBT students must have their rights protected and be supported for who they are in both K-12 and Higher Education environments across the country. I am a woman running against a crazy old man with a history of violent outbursts in Congress (including brandishing weapons at other members of Congress and federal officials on the House floor) who is a sexist, homophobic, and transphobic bigot who has said that, “You can’t have marriage with two men. What do you get with two bulls?”. Well Don, it is 2018 and the Supreme Court of the United States has said that ALL Americans have the right to marriage equality, so this election is time to send Don Young off onto a political iceberg to drift away into the regrettable pages of history with other bigots of the past. Don Young will probably have a heart attack if a woman beats him, so make sure you vote for me! Carol “Kitty” Hafner for Congress!",0,0,2
"11","Shein, Dimitri","Dimitri Shein AK",0,"The power of government (federal, state and municipal) should never be used to discriminate and oppress people in our communities.  The power of government should not be used to control a woman’s body.  The power of government should not be used to demonize our immigrant communities.  The power of government should not be used to strip away civil rights from our LGBTQ community.  The power of government should not be used to oppress people of color.  In Congress, I will fight to ensure we live in a more open and just society.",0,0,2
"12","Galvin, Alyse","Alyse Galvin AK",1,"We must insure that women have full, unlimited access to reproductive health services. I strongly support a woman’s right to choose and will fight to make sure that contraception is available to all and covered by insurance.",0,0,2
"13","Heinz, Matt","Matt Heinz AZ",0,NA,0,1,2
"14","Wheeler, Bruce","Bruce Wheeler AZ",0,NA,0,1,2
"15","Yuksel, Yahya","Yahya Yukse AZ",0,"My mother escaped from Iran just before the revolution that would have left her without control of her own life—because of her gender. Her story and her narrow escape inspires me and will guide my actions in Congress. During the Ayatollah’s revolution, my mother left Iran just ahead of the severe suppression of women's freedoms. Once in America she was able to earn multiple college degrees, each one a repudiation of the regime, a testament to America's eminence and an example for women everywhere. Women deserve equal pay for equal work and access to all the support needed to raise a family (childcare, health care, quality public education). Women’s rights to reproductive health will be rigorously defended and women must have affordable health care that includes contraception and other reproductive health services. I strongly support Planned Parenthood and believe that its federal funding should be protected. I will work towards strict enforcement of laws such as the Employment Non-Discrimination Act which protects Americans from losing their jobs due to sexual orientation, gender or gender identity. I also strongly support the Lilly Ledbetter Fair Pay Act, which gives women the right to being paid the same as men for the same work performed. I want to ensure that the civil rights lawyers in the Justice Department rigorously enforce these laws and have consequences for not doing so.",0,1,2
"16","Kirkpatrick, Ann","Ann Kirkpatrick AZ",1,"Ann is proudly pro-choice and has always been an advocate for ensuring all women have access to the health services they need. She will fight against Republican efforts to defund Planned Parenthood or weaken protections or access for women’s health insurance and services.",0,1,2
"17","Sherry, Barbara","Barbara Sherry AZ",1,"Job creation is essential for improving our economy, but not all jobs are created equal. There is no reason that someone working two jobs should struggle to feed his or her family. Hard working American people deserve a universal minimum wage and equal pay for equal work.  When we look to the future of jobs in America, we must indeed look to the future and not the past. We can no longer cling to dying industries like coal, when there is so much work to be done in improving our nation’s infrastructure and in industries such as renewable energy.  There is no lack of work to be done, but a lack of progressive thinking to create jobs to fill these needs. As the wage gap widens, far too many Americans go without, while a select handful of Americans gain wealth beyond our wildest dreams.  I will fight for infrastructure funding, regional training centers for trades, free preschool to all, equal pay for equal work, and a higher minimum wage. I believe these are the building blocks for a future with a smaller wage gap and higher economic prosperity for all Americans.  For more information, visit www.epi.org/nominal-wage-tracker",0,1,2
"18","Matiella, Mary","Mary Matiella AZ",1,"I’m a proud feminist. I believe in equal pay for equal work, paid family and sick leave, and affordable childcare. I believe women and men ought to have access to birth control. And, I believe that abortion services should remain safe, legal, and accessible for women and their families who are faced with the very personal medical decision about whether to terminate a pregnancy.

I support equal rights and fair treatment for all Americans regardless of sexual orientation or gender identity. I support the Employment Non-Discrimination Act, which would prohibit discrimination by employers. I also support age-appropriate, medically accurate sexual and reproductive health education that includes sexual orientation and gender identity.",0,1,2
"19","Brill, David","David Brill AZ",0,"The Constitution guarantees equality under the law for all Americans, and that's a founding principle of our system that we can all take pride in. Over the past hundred years women have made great strides in the struggle to realize that promise, and they deserve credit for that. Yet women still contend with workplace discrimination, institutional barriers to equal participation, and gender-based violence and abuse every day. This is not the America we should be or want to be. I proudly support Planned Parenthood as one of America's most effective institutions in serving our communities with vital healthcare services. I will promote, support and defend equal rights for women and LGBTQ Americans, without reservation, in jobs, schools, the military and our justice system.   I believe that families are the core of our society, so parents should be able to have and care for their children and elders without fear of losing their jobs, through standard family leave and consistent enforcement of our laws against workplace discrimination. No one who poses a threat of domestic abuse should have access to a gun. No one should ever have to live in fear of an abuser, including those who wield power in the workplace. We must end the culture of silence that allows abuse to continue unseen and unpunished.  I believe in justice for all — equal justice. That extends to equal pay for equal work, a living wage, and reform of our social security system to ensure that all women have equal access to the opportunities and support that our society provides.  Human dignity demands that we not just allow, but support women in making their own decisions about whether to have a child. At the same time we should be doing all we can, through good education and open access to birth control, to help prevent the need to make the difficult decision of abortion, which should be safe, legal and rare.",0,0,0
"20","Torres, Jose","Jose Torres AZ",0,"Society has held women back from the fullest experience of fairness, opportunity and respect. #Timesup and #Metoo are overdue social movements to address this. Principles of fairness, opportunity and respect will also help find the right future balance in the middle and a society which approaches equal/fair treatment.   * Tax employers who fail to provide equal pay for equal work, and use that $ to increase employment and advocacy of women entrepreneurs. * Support the State Attorney’s General efforts to reduce forced arbitration and explore ways to legally investigate when multiple Non-Disclosure settlements are used to hide abuse patterns. * 100% support for Roe v Wade – each person must legally own their own body * Adopt policies & programs that empower young women and strengthen the right of women to make their own reproductive decisions. * Support healthcare providers like Planned Parenthood in their efforts to improve women’s healthcare. * Encourage policies that continue to reduce the rate of unplanned pregnancy, including comprehensive science-based sex education and access to affordable contraception and reproductive healthcare. * Support ratification of the Equal Rights Amendment",0,0,0
"21","Greene, Joan","Joan Green AZ",1,"Protecting Medicare & Medicaid I support single-payer health coverage that provides comprehensive coverage for everyone. Nobody should ever have to make a decision if their loved one lives or dies because they don’t have health insurance. Nobody should go bankrupt or stay in a job they do not like just for health insurance or not take their medication because they cannot afford it.Planned Parenthood provides medical care to low income women, cancer screenings, family health planning. Without Planned Parenthood unplanned pregnancies and sexually transmitted diseases will increase. Government needs to expand funding for this organization that does so much good for the community.Health care is not just for the privileged who can afford it, but a right for everyone. Everyone deserves and should have quality medical care which includes pre-existing conditions. I will also make sure that Congress does not try to sneak in “genetic predisposed” law or discriminate against the LGBTQA Community to stop them from receiving the coverage they deserve.I will also fight to make sure the cost of prescription drugs are lowered. A little known fact is that unexpired prescription drugs are thrown away by nursing homes after patients die. The drugs could be given to patients who couldn’t otherwise afford them.I will introduce a bill that would allow sealed and unexpired medications to be donated to approved medical clinics for disbursement to those who need the medicine but cannot afford it.Health care is freedom. It allows our economy to flourish, people can move from a low paying job to another job that offers more opportunities for advancement. Companies will have more money to pay higher wages or invest back into their business. When you have your health, you have options.Back to Top",0,0,0
"22","Ross, Heather","Heather Ross AZ",1,NA,0,0,2
"23","Malik, Anita","Anita Malik AZ",1,"This issue reaches far beyond abortion to one deep and pressing question: Do we value the lives of women? Because I believe we should value the lives of women, I support a woman’s right to make decisions about her body — from contraception and reproductive health to family planning and termination. This means I believe in science-based sex education, affordable contraception availability, affordable wellness and maternity care for women, and access to safe and legal abortions. Research shows that female managers are highly effective; women CEOs deliver strong returns, yet women continue to fight to be equal at work.   Female college graduates earn an average of $10,400 less than males when starting their careers, and the divide continues all the way up the ladder. This is not a feminist issue. Closing the pay gap is an economic and social issue that impacts our ability to succeed as a country. Women are leaving the workforce at an alarming rate. This is not talent we can afford to lose. I will stand up for equal pay.",0,0,2
"24","McFadden, Garrick","Garrick McFadden AZ",0,"Equal pay for equal work is a concept inherent in American values, and yet it is still is not borne out in practice. Today, women only earn 79 cents for every dollar a man makes, despite the laws in place and progress made. Women of color face an even greater gap. And these disparities only grow with time, jeopardizing women’s ability to retire. In Congress, I will fight to close these holes so that everyone who does the same work receives the same reward and has an equal chance to succeed. I support the Paycheck Fairness Act, the enactment of which will be a huge first step to pay parity. While the Equal Pay Act of 1963 does make it illegal for an employer to pay men and women differently for substantially equal work, the act has loopholes this new legislation will fill. For example, employers often use an applicant’s salary history as a means of setting that person’s new compensation. However, if a female candidate has historically been paid less than the standard wage for the position based on her sex, such questions only perpetuate the discrimination. The Paycheck Fairness Act generally prohibits employers from requiring applicants to provide their salary history during the interview and hiring process and ensures that once hired, employees are able to talk about their pay amongst one another without fear of retaliation by their employer. The Act also requires employers to prove that any pay disparities that do exist in the workforce exist for a legitimate job-related reason consistent with business necessity, something that was not previously codified. The Paycheck Fairness Act, however, cannot solve every barrier to closing the pay gap. Prohibitions on paying persons less based on characteristics other than sex must also be explored and enacted. Moreover, bias can even occur before an applicant obtains an interview based on the fact the person’s name or other information stereotypically implies a certain sex, race, etc. The solution to the pay gap must therefore also include other proposals such as the use of a blind application process. 

I also want to close the loophole for victims of crime committed at the hands of a boyfriend or girlfriend, sometimes called the intimate violence loophole. The presence of a gun in an abusive relationship increases a woman’s risk of homicide by 500%. That is one of the reasons persons convicted of certain domestic violence crimes are prohibited from buying or owning a gun. However, that prohibition only applies to specific relationships. It does not apply to persons who are dating unless they have a child together, were previously married, live or lived together as spouses or are otherwise similarly situated. And it does not apply to misdemeanor stalking. We must do better and close this gap in coverage so that all victims of such violence are protected.",0,0,2
"25","Tipirneni, Hiral","Hiral Tipirneni AZ",1,"I fervently believe our elected representatives should support policies reflecting clearly established women’s reproductive health rights. In short, abortions should stay safe, legal, and rare. And, for the record, no one is “pro-abortion” – one is essentially either pro-choice or anti-choice. The heart-wrenching, deeply personal decision to end a pregnancy should be between a woman, her partner, her doctor, and her faith. There is no role for politicians in that decision. We cannot go back to the days, which are not so far in the past, of coat-hanger abortions and women bleeding to death in alleys. In Roe v. Wade, the Supreme Court has set clear precedent in the “law of the land,” and policy decisions should be in accordance with that principle. It should also be noted that late-term terminations, which can be particularly traumatic, are less than 1% of all terminations, and only done in cases of risk to the mother’s health or life-threatening developmental issues with the fetus. Of course, avoiding an unwanted pregnancy is the BEST way to reduce the number of terminations. Data has definitively shown that abortion rates drop when there is simple access to contraception and sex-education. We should have comprehensive, age-appropriate sex education in the classroom and ensure unhindered access to effective contraception. Women’s reproductive health is an issue of civil rights, economic freedom, and religious freedom, and it is an issue I will fight fiercely to protect.",0,0,0
"26","Desai, Chintan","Chintan Desai AR",0,"Women's rights and LGBTQ rights are civil rights and human rights. We must uphold our Constitution's promise of equal protection under the law. * We must support efforts to ensure that there is equal pay for equal work. All Americans must be treated fairly and paid equally, regardless of gender, race, or sexual orientation. * All women, regardless of income or background, should have access to affordable, comprehensive healthcare, including cost-free contraception to reduce unintended pregnancies and life-saving preventative care services such as breast and cervical cancer screenings.",0,0,0
